Date,HICP,Migration,Unemployment,AfD_Vote_Rate
2015-01-01,114.8,7455,4.5,5.6
2015-02-01,115.9,8075,4.5,5.5
2015-03-01,116.6,9735,4.5,6.0
2015-04-01,117.3,8500,4.4,5.25
2015-05-01,117.7,7925,4.4,4.5
2015-06-01,117.6,10160,4.4,4.5
2015-07-01,118.0,11130,4.3,3.8
2015-08-01,118.0,11040,4.3,3.25
2015-09-01,117.6,13545,4.3,4.0
2015-10-01,117.6,16315,4.2,6.75
2015-11-01,116.5,17580,4.2,7.25
2015-12-01,116.6,14805,4.2,7.6
2016-01-01,115.3,18450,4.1,9.25
2016-02-01,115.7,23905,4.1,9.75
2016-03-01,116.8,21460,4.0,10.6
2016-04-01,116.9,22045,4.0,10.25
2016-05-01,117.6,20580,4.0,10.5
2016-06-01,117.7,26705,4.0,10.4
2016-07-01,118.4,26410,3.9,8.75
2016-08-01,118.3,33230,3.9,9.8
2016-09-01,118.2,27825,3.8,13.0
2016-10-01,118.4,11510,3.7,12.25
2016-11-01,117.3,9020,3.7,10.6
2016-12-01,118.4,6610,3.7,11.0
2017-01-01,117.3,6930,3.7,11.75
2017-02-01,118.2,6570,3.6,9.5
2017-03-01,118.5,7530,3.6,8.4
2017-04-01,119.2,5680,3.6,8.25
2017-05-01,119.2,6365,3.6,7.2
2017-06-01,119.7,5810,3.5,7.0
2017-07-01,120.4,6565,3.5,7.25
2017-08-01,120.5,7505,3.5,8.4
2017-09-01,120.5,6600,3.4,9.0
2017-10-01,120.2,6470,3.4,11.75
2017-11-01,119.4,7240,3.4,11.666666666666666
2017-12-01,120.2,5125,3.4,11.2
2018-01-01,119.0,7040,3.3,11.666666666666666
2018-02-01,119.6,6010,3.3,13.0
2018-03-01,120.5,5950,3.3,13.0
2018-04-01,120.8,5510,3.2,12.25
2018-05-01,122.0,5290,3.2,13.0
2018-06-01,122.1,5950,3.2,14.0
2018-07-01,123.0,6615,3.2,15.25
2018-08-01,123.1,6430,3.2,14.0
2018-09-01,123.2,5640,3.1,14.6
2018-10-01,123.3,6140,3.1,14.25
2018-11-01,121.9,5720,3.1,13.0
2018-12-01,122.1,3770,3.1,13.0
2019-01-01,121.0,6510,3.0,11.75
2019-02-01,121.6,5645,3.0,12.0
2019-03-01,122.2,5050,3.0,11.6
2019-04-01,123.3,5010,2.9,12.5
2019-05-01,123.6,5355,2.9,13.0
2019-06-01,124.0,4080,2.9,12.2
2019-07-01,124.5,5965,2.9,12.5
2019-08-01,124.3,5455,2.9,12.8
2019-09-01,124.3,5200,2.9,13.25
2019-10-01,124.4,5235,2.9,12.75
2019-11-01,123.4,4815,3.0,13.0
2019-12-01,124.0,3635,3.1,13.333333333333334
2020-01-01,123.0,5685,3.2,12.666666666666666
2020-02-01,123.7,4670,3.3,10.4
2020-03-01,123.8,3480,3.4,9.8
2020-04-01,124.3,2395,3.5,9.5
2020-05-01,124.2,1990,3.7,9.4
2020-06-01,125.1,2445,3.8,8.75
2020-07-01,124.5,3725,3.8,9.5
2020-08-01,124.2,3425,3.9,8.6
2020-09-01,123.9,4470,3.8,8.75
2020-10-01,123.8,4025,3.8,9.2
2020-11-01,122.5,4010,3.8,9.0
2020-12-01,123.3,2885,3.8,8.25
2021-01-01,125.0,3685,3.9,8.75
2021-02-01,125.7,3570,3.9,8.0
2021-03-01,126.2,4545,3.9,10.0
2021-04-01,126.8,4145,3.8,10.8
2021-05-01,127.2,4330,3.7,10.0
2021-06-01,127.6,5015,3.6,9.0
2021-07-01,128.4,5890,3.5,9.75
2021-08-01,128.5,5680,3.4,10.2
2021-09-01,128.8,6250,3.4,10.75
2021-10-01,129.6,5830,3.4,9.0
2021-11-01,129.8,6780,3.4,9.6
2021-12-01,130.2,4855,3.4,9.666666666666666
2022-01-01,131.4,5870,3.3,9.666666666666666
2022-02-01,132.5,5535,3.2,9.5
2022-03-01,135.8,5850,3.2,8.2
2022-04-01,136.8,4750,3.1,9.0
2022-05-01,138.3,5115,3.1,8.8
2022-06-01,138.2,4695,3.1,9.25
2022-07-01,139.2,4965,3.1,9.25
2022-08-01,139.8,5715,3.1,10.6
2022-09-01,142.9,6030,3.1,12.5
2022-10-01,144.6,6655,3.1,14.0
2022-11-01,144.5,8190,3.1,13.4
2022-12-01,142.7,6725,3.1,12.333333333333334
2023-01-01,143.5,7910,3.0,12.75
2023-02-01,144.9,7250,3.0,13.0
2023-03-01,146.3,7780,3.0,13.75
2023-04-01,147.2,6170,3.0,14.5
2023-05-01,147.0,6870,3.0,16.2
2023-06-01,147.5,7260,3.0,18.5
2023-07-01,148.3,7380,3.0,19.25
2023-08-01,148.8,8340,3.1,20.8
2023-09-01,149.0,7990,3.1,21.25
2023-10-01,148.8,9505,3.1,20.8
2023-11-01,147.8,10275,3.2,21.0
2023-12-01,148.1,6900,3.2,22.33333333333333
2024-01-01,147.9,8830,3.2,20.75
2024-02-01,148.8,6715,3.3,17.5
2024-03-01,149.8,5865,3.3,17.0
2024-04-01,150.7,5890,3.4,16.6
2024-05-01,151.0,5980,3.4,15.0
2024-06-01,151.3,5805,3.4,15.75
2024-07-01,152.1,6515,3.4,16.6
2024-08-01,151.9,6460,3.4,17.0
2024-09-01,151.8,6300,3.4,17.0
2024-10-01,152.3,7010,3.4,17.0
2024-11-01,151.4,5855,3.4,17.2
2024-12-01,152.3,4080,3.5,18.5
2025-01-01,152.0,5475,3.5,19.5
2025-02-01,152.7,4470,3.6,20.2
2025-03-01,153.3,3695,3.7,22.5
2025-04-01,154.0,3730,3.7,24.8
2025-05-01,154.2,3335,3.7,24.5
2025-06-01,154.3,2825,3.8,23.5
2025-07-01,154.9,3505,3.8,24.4
2025-08-01,155.0,3385,3.8,25.75
2025-09-01,155.4,3920,3.9,26.2
